Date,Event_Description,Category,Likely_Brent_Impact
2012-01,EU imposes oil embargo on Iran (nuclear program sanctions tighten),Sanctions,Upward pressure from supply fears
2014-06,ISIS advances in Iraq (Mosul capture, oil field disruptions),Geopolitical,Temporary spike then oversupply dominates
2014-11-27,OPEC decides against production cuts (flood market vs US shale),OPEC Policy,Major downward break (~$100 to ~$50 range)
2015-08,China stock market crash and devaluation (demand fears),Economic Shock,Contributes to ongoing decline
2016-01-16,JCPOA implementation lifting major Iran sanctions,Sanctions,Increased supply downward pressure
2016-11-30,OPEC agrees production cut (first in years with non-OPEC),OPEC Policy,Rebound from lows (~$30 to $50+)
2018-05-08,US withdraws from Iran deal and reimposes maximum pressure sanctions,Sanctions,Upward pressure (supply risk)
2018-12,OPEC+ announces further cuts,OPEC Policy,Supports price stabilization
2019-09-14,Drone attacks on Saudi Aramco facilities (Abqaiq/Khurais),Geopolitical,Sharp short-term spike (~20%)
2020-03-06,Saudi-Russia oil price war (OPEC+ talks collapse),OPEC Policy,Crash to below $20 (combined with COVID)
2020-03-11,WHO declares COVID-19 pandemic; global lockdowns begin,Economic Shock,Demand collapse historic low
2020-04-12,OPEC+ agrees record 9.7 mb/d cuts (historic agreement),OPEC Policy,Recovery from lows
2021-12,Omicron variant emerges (initial demand fears then recovery),Economic Shock,Temporary dip then rebound
2022-02-24,Russia invades Ukraine; immediate Western sanctions on Russian energy,Geopolitical,Major upward spike (> $100 to $130 peak)
2022-03,EU US and others impose oil sanctions on Russia (price caps embargoes phased in),Sanctions,Sustained high prices then partial stabilization
